Timestamp:, Message:
Tue Oct  7 11:17:51 2014,[STARTUP]
Tue Oct  7 11:17:55 2014,[LOGIN]:Oskar (3)
Tue Oct  7 11:17:59 2014,[SHUTDOWN]
Tue Oct  7 11:44:43 2014,[STARTUP]
Tue Oct  7 11:44:45 2014,[LOGIN]:Oskar (3)
Tue Oct  7 11:44:48 2014,[LOGOUT]:Oskar (3)
Tue Oct  7 11:47:00 2014,[STARTUP]
Tue Oct  7 11:47:01 2014,[LOGIN]:Oskar (3)
Tue Oct  7 11:47:04 2014,[LOGOUT]:Oskar (3)
Tue Oct  7 11:47:07 2014,[LOGIN]:Oskar (3)
Tue Oct  7 11:47:09 2014,[LOGOUT]:Oskar (3)
Tue Oct  7 11:47:15 2014,[STARTUP]
Tue Oct  7 11:47:16 2014,[LOGIN]:Oskar (3)
Tue Oct  7 11:47:18 2014,[LOGOUT]:Oskar (3)
Tue Oct  7 11:47:20 2014,[LOGIN]:Oskar (3)
Tue Oct  7 11:47:23 2014,[SHUTDOWN]
Tue Oct  7 12:01:51 2014,[STARTUP]
Tue Oct  7 12:01:52 2014,[LOGIN]:Oskar (3)
Tue Oct  7 12:01:59 2014,[BALANCE]:Oskar (3):-37819
Tue Oct  7 12:02:41 2014,[STARTUP]
Tue Oct  7 12:02:42 2014,[LOGIN]:Zeverin (1)
Tue Oct  7 12:02:54 2014,[SHUTDOWN]
Tue Oct  7 12:03:15 2014,[STARTUP]
Tue Oct  7 12:03:17 2014,[LOGIN]:Oskar (3)
Tue Oct  7 12:03:28 2014,[SHUTDOWN]
Tue Oct  7 12:08:41 2014,[STARTUP]
Tue Oct  7 12:08:44 2014,[LOGIN]:Oskar (3)
Tue Oct  7 12:08:49 2014,[LOGOUT]:Oskar (3)
Tue Oct  7 12:08:52 2014,[LOGIN]:Zeverin (1)
Tue Oct  7 12:08:54 2014,[SHUTDOWN]
Tue Oct  7 12:11:43 2014,[STARTUP]
Tue Oct  7 12:11:45 2014,[LOGIN]:Oskar (3)
Tue Oct  7 12:11:51 2014,[SHUTDOWN]
Tue Oct  7 12:15:44 2014,[STARTUP]
Tue Oct  7 12:15:55 2014,[LOGIN]:Oskar (3)
Tue Oct  7 12:15:58 2014,[SHUTDOWN]
Tue Oct  7 12:16:50 2014,[STARTUP]
